타임스탬프,A1. 귀하는 건강기능식품을 섭취하고 계시나요?,B1. 현재 섭취 중인 건강기능식품은 어떤 제품인가요?,B2. 건강기능식품을 섭취하시는 이유는 무엇인가요? (중복 선택 가능),B3. 건강기능식품을 섭취하는 빈도는 어떻게 되시나요?,B4. 건강기능식품의 섭취 시간대는 언제인가요?,B5. 섭취하고 있는 건강기능식품에 대한 전반적인 만족은 어느 정도인가요?,B6. 건강기능식품을 구매할 때 가장 중요하게 생각하는 요소는 무엇인가요?,B7. 건강기능식품을 구매할 때 주로 이용하는 채널은 무엇인가요?,"C1. 새로운 건강기능식품이 출시된다면, 어떤 점을 개선하거나 추가했으면 좋겠다고 생각하시나요?",C2. 건강기능식품에서 선호하는 주요 원료는 무엇인가요? (최대 3개 선택 가능),C4. 건강기능식품에 대한 정보를 주로 얻는 경로는 무엇인가요? (중복 선택 가능),C5. 건강기능식품에 대한 정보를 찾을 때 중요하게 생각하는 요소는 무엇인가요?,C6. 건강기능식품 원료의 출처에 대해 얼마나 중요하게 생각하시나요?,Z1. 건강기능식품을 섭취하지 않는 이유는 무엇인가요? 자유롭게 작성해 주세요.,Z2. 앞으로 건강기능식품을 구매할 의향이 있나요?,D1. 귀하의 성별은 어떻게 됩니까?,D2. 귀하의 연령은 만 몇 세 입니까?
2024-06-27 15:55,예,엑세라민,다이어트,주 1회,nan,3,구매 편의성,온라인 쇼핑몰,크기를 작게,홍삼,전문가 추천,전문가 의견,,비용이 너무 비싸서,5,여자,42
2024-03-25 0:49,예,홍삼,모름,주 1회,저녁,1,브랜드 신뢰도,마트,nan,비타민 C,친구 및 가족,사용 후기,3,비용이 너무 비싸서,1,남자,44
2024-01-15 14:45,아니오,모름,다이어트,주 2~3회,점심,2,가격,마트,효과 증대,홍삼,친구 및 가족,nan,2,건강에 문제 없어서,1,여자,23
2024-01-10 20:45,아니오,루테인,다이어트,한 달에 한 번,아무때나,2,가격,nan,크기를 작게,홍삼,nan,nan,4,비용이 너무 비싸서,,남자,49
2024-02-18 23:00,아니오,루테인,다이어트,한 달에 한 번,아침,1,nan,백화점,효과 증대,비타민 C,소셜 미디어,nan,,효과를 믿지 않아서,2,남자,49
2024-03-14 1:45,아니오,모름,모름,한 달에 한 번,아무때나,2,nan,nan,효과 증대,유산균,친구 및 가족,nan,3,비용이 너무 비싸서,5,여자,32
2024-11-02 12:59,아니오,nan,다이어트,주 2~3회,아침,4,가격,약국,크기를 작게,홍삼,친구 및 가족,성분 분석,3,모름,5,남자,61
2024-10-11 14:52,아니오,nan,피로 회복,한 달에 한 번,아침,1,성분,nan,섭취가 편한 제품,비타민 C,인터넷 검색,전문가 의견,1,비용이 너무 비싸서,,남자,68
2024-12-05 10:11,아니오,비타민D,모름,주 1회,nan,4,구매 편의성,온라인 쇼핑몰,크기를 작게,유산균,전문가 추천,성분 분석,,모름,3,여자,33
2024-01-12 16:36,예,비타민D,다이어트,매일,아침,2,nan,백화점,nan,홍삼,인터넷 검색,nan,4,모름,5,남자,66
2024-01-18 4:07,예,홍삼,모름,주 1회,아침,1,성분,온라인 쇼핑몰,가격 인하,유산균,nan,가격 비교,5,효과를 믿지 않아서,5,남자,27
2024-07-02 9:55,아니오,오메가3,피부 건강,주 1회,저녁,2,구매 편의성,약국,크기를 작게,프로바이오틱스,소셜 미디어,성분 분석,3,비용이 너무 비싸서,1,남자,43
2024-05-28 8:07,예,엑세라민,피로 회복,매일,아무때나,1,가격,백화점,효과 증대,nan,전문가 추천,nan,3,비용이 너무 비싸서,,여자,37
2024-07-28 8:30,예,비타민D,다이어트,주 1회,저녁,2,브랜드 신뢰도,마트,효과 증대,프로바이오틱스,인터넷 검색,nan,2,nan,5,여자,54
2024-09-22 14:53,예,루테인,피부 건강,주 2~3회,아침,4,효과,nan,크기를 작게,유산균,친구 및 가족,전문가 의견,1,nan,5,여자,44
2024-10-20 18:05,아니오,홍삼,피부 건강,매일,nan,4,효과,온라인 쇼핑몰,가격 인하,홍삼,친구 및 가족,사용 후기,3,건강에 문제 없어서,1,여자,36
2024-02-05 19:20,아니오,엑세라민,모름,주 1회,저녁,2,가격,약국,크기를 작게,비타민 C,전문가 추천,성분 분석,3,모름,5,여자,51
2024-09-06 13:04,예,홍삼,피부 건강,nan,저녁,1,nan,마트,가격 인하,비타민 D,친구 및 가족,성분 분석,5,효과를 믿지 않아서,1,여자,43
2024-11-14 5:35,아니오,엑세라민,피로 회복,주 1회,점심,3,성분,nan,가격 인하,비타민 C,인터넷 검색,성분 분석,5,nan,3,여자,26
2024-09-21 21:21,예,엑세라민,피로 회복,주 2~3회,아침,4,브랜드 신뢰도,마트,nan,비타민 D,인터넷 검색,nan,2,비용이 너무 비싸서,4,여자,32
2024-12-26 6:00,예,모름,면역력 강화,한 달에 한 번,nan,4,구매 편의성,nan,효과 증대,비타민 D,친구 및 가족,전문가 의견,,건강에 문제 없어서,1,남자,46
2024-07-18 11:44,예,비타민D,피로 회복,주 1회,저녁,,가격,백화점,효과 증대,홍삼,친구 및 가족,nan,2,효과를 믿지 않아서,1,남자,67
2024-12-16 18:01,예,홍삼,피부 건강,한 달에 한 번,저녁,3,브랜드 신뢰도,마트,가격 인하,유산균,nan,nan,2,비용이 너무 비싸서,5,남자,24
2024-09-26 15:21,아니오,홍삼,피로 회복,nan,nan,2,브랜드 신뢰도,마트,효과 증대,비타민 C,소셜 미디어,가격 비교,5,비용이 너무 비싸서,1,남자,55
2024-08-11 14:29,아니오,모름,모름,주 1회,아침,1,nan,마트,섭취가 편한 제품,유산균,전문가 추천,전문가 의견,,모름,,여자,45
2024-12-10 4:10,아니오,루테인,면역력 강화,매일,점심,,구매 편의성,백화점,가격 인하,프로바이오틱스,인터넷 검색,성분 분석,5,모름,2,남자,61
2024-06-17 10:24,예,루테인,피부 건강,한 달에 한 번,저녁,2,브랜드 신뢰도,약국,효과 증대,홍삼,전문가 추천,사용 후기,1,nan,2,남자,64
2024-08-22 13:32,아니오,nan,면역력 강화,nan,점심,5,nan,nan,섭취가 편한 제품,홍삼,nan,성분 분석,4,nan,3,남자,50
2024-10-07 14:24,예,비타민D,피부 건강,매일,아무때나,4,성분,마트,nan,프로바이오틱스,인터넷 검색,nan,4,비용이 너무 비싸서,1,남자,29
2024-01-02 11:04,아니오,비타민D,모름,매일,아침,5,nan,백화점,효과 증대,비타민 C,nan,전문가 의견,1,비용이 너무 비싸서,,남자,65
2024-03-20 6:49,예,오메가3,면역력 강화,매일,아무때나,4,성분,약국,섭취가 편한 제품,nan,nan,전문가 의견,4,nan,5,여자,45
2024-07-02 9:55,예,모름,다이어트,매일,아무때나,4,성분,nan,크기를 작게,프로바이오틱스,친구 및 가족,전문가 의견,,nan,5,여자,41
2024-10-06 20:52,예,루테인,피부 건강,주 1회,아무때나,5,브랜드 신뢰도,백화점,크기를 작게,비타민 C,전문가 추천,가격 비교,5,비용이 너무 비싸서,4,남자,31
2024-05-25 1:12,아니오,엑세라민,다이어트,주 1회,아침,5,nan,nan,섭취가 편한 제품,비타민 D,전문가 추천,성분 분석,4,효과를 믿지 않아서,3,남자,51
2024-11-13 20:49,아니오,홍삼,면역력 강화,주 1회,아침,2,성분,마트,가격 인하,홍삼,친구 및 가족,가격 비교,,비용이 너무 비싸서,,남자,46
2024-10-17 2:24,아니오,비타민D,다이어트,nan,nan,,구매 편의성,약국,가격 인하,비타민 C,전문가 추천,사용 후기,5,효과를 믿지 않아서,,남자,52
2024-05-23 5:21,아니오,홍삼,다이어트,nan,점심,,브랜드 신뢰도,백화점,효과 증대,유산균,친구 및 가족,nan,,효과를 믿지 않아서,5,여자,39
2024-03-16 6:21,예,홍삼,면역력 강화,nan,점심,5,nan,약국,크기를 작게,유산균,인터넷 검색,가격 비교,1,비용이 너무 비싸서,4,남자,58
2024-01-06 2:45,아니오,오메가3,모름,주 2~3회,nan,2,nan,마트,가격 인하,홍삼,nan,가격 비교,2,건강에 문제 없어서,5,여자,60
2024-11-09 2:50,아니오,루테인,다이어트,nan,nan,,효과,약국,가격 인하,프로바이오틱스,nan,nan,1,nan,4,남자,59
2024-07-21 1:07,예,비타민D,다이어트,주 1회,아무때나,2,nan,약국,크기를 작게,nan,전문가 추천,전문가 의견,4,모름,2,여자,32
2024-11-21 12:58,예,홍삼,모름,주 1회,nan,2,브랜드 신뢰도,온라인 쇼핑몰,nan,프로바이오틱스,소셜 미디어,nan,5,비용이 너무 비싸서,,여자,33
2024-06-17 1:38,예,비타민D,다이어트,주 2~3회,저녁,4,구매 편의성,약국,가격 인하,비타민 C,nan,성분 분석,,효과를 믿지 않아서,2,여자,63
2024-09-09 2:27,아니오,엑세라민,다이어트,주 2~3회,점심,,nan,nan,섭취가 편한 제품,프로바이오틱스,친구 및 가족,nan,4,비용이 너무 비싸서,5,남자,59
2024-07-28 17:16,예,오메가3,다이어트,nan,nan,,효과,백화점,효과 증대,홍삼,소셜 미디어,전문가 의견,4,nan,3,남자,41
2024-11-11 7:26,예,엑세라민,피로 회복,한 달에 한 번,저녁,4,브랜드 신뢰도,온라인 쇼핑몰,가격 인하,비타민 C,소셜 미디어,nan,2,효과를 믿지 않아서,1,여자,37
2024-09-28 2:25,예,비타민D,모름,주 2~3회,저녁,5,성분,백화점,가격 인하,비타민 D,nan,가격 비교,4,모름,3,남자,67
2024-03-28 16:30,아니오,nan,다이어트,매일,저녁,4,가격,백화점,nan,프로바이오틱스,nan,사용 후기,2,모름,3,남자,48
2024-07-24 16:49,예,비타민D,모름,주 1회,저녁,,가격,마트,섭취가 편한 제품,프로바이오틱스,nan,가격 비교,5,모름,1,여자,62
2024-02-04 17:01,아니오,루테인,피부 건강,매일,아무때나,,성분,마트,효과 증대,nan,친구 및 가족,사용 후기,5,건강에 문제 없어서,,남자,35
2024-11-24 11:07,아니오,홍삼,피부 건강,주 1회,저녁,5,nan,온라인 쇼핑몰,가격 인하,비타민 C,소셜 미디어,nan,,효과를 믿지 않아서,2,여자,65
2024-09-24 19:30,예,홍삼,다이어트,주 1회,아무때나,4,가격,마트,효과 증대,유산균,전문가 추천,성분 분석,2,효과를 믿지 않아서,2,남자,54
2024-06-25 20:05,예,엑세라민,모름,주 2~3회,아무때나,1,가격,마트,크기를 작게,프로바이오틱스,친구 및 가족,nan,1,건강에 문제 없어서,,남자,53
2024-05-28 8:07,아니오,오메가3,모름,주 2~3회,저녁,1,성분,마트,가격 인하,홍삼,인터넷 검색,전문가 의견,5,효과를 믿지 않아서,1,여자,22
2024-03-25 0:49,예,nan,모름,매일,점심,5,nan,백화점,가격 인하,프로바이오틱스,nan,nan,,건강에 문제 없어서,4,여자,23
2024-09-30 7:02,예,모름,피로 회복,주 1회,저녁,4,nan,온라인 쇼핑몰,크기를 작게,nan,소셜 미디어,사용 후기,1,비용이 너무 비싸서,3,여자,24
2024-08-26 22:46,아니오,홍삼,피부 건강,매일,저녁,4,성분,백화점,nan,비타민 D,친구 및 가족,가격 비교,5,nan,5,여자,29
2024-03-03 2:41,아니오,루테인,모름,한 달에 한 번,저녁,2,nan,nan,가격 인하,nan,인터넷 검색,성분 분석,5,모름,2,남자,48
2024-07-16 7:08,예,엑세라민,모름,매일,점심,,nan,백화점,효과 증대,프로바이오틱스,친구 및 가족,nan,,건강에 문제 없어서,,남자,51
2024-01-13 18:54,아니오,엑세라민,피로 회복,nan,아침,3,브랜드 신뢰도,nan,섭취가 편한 제품,유산균,친구 및 가족,nan,,건강에 문제 없어서,5,남자,50
2024-07-10 10:50,예,모름,피로 회복,매일,아침,5,브랜드 신뢰도,약국,효과 증대,프로바이오틱스,전문가 추천,가격 비교,3,건강에 문제 없어서,1,여자,21
2024-02-28 2:14,예,루테인,모름,nan,아무때나,3,성분,약국,nan,비타민 C,전문가 추천,성분 분석,4,비용이 너무 비싸서,5,남자,31
2024-11-02 4:13,예,오메가3,면역력 강화,nan,아무때나,3,구매 편의성,nan,섭취가 편한 제품,프로바이오틱스,친구 및 가족,nan,4,건강에 문제 없어서,5,남자,46
2024-09-12 0:36,아니오,루테인,모름,nan,점심,5,가격,nan,효과 증대,유산균,인터넷 검색,nan,1,nan,3,남자,24
2024-03-29 10:02,예,오메가3,모름,한 달에 한 번,nan,4,브랜드 신뢰도,백화점,효과 증대,비타민 C,소셜 미디어,사용 후기,4,nan,1,여자,56
2024-02-01 1:20,예,루테인,피로 회복,매일,아침,5,가격,nan,크기를 작게,홍삼,소셜 미디어,사용 후기,1,모름,5,여자,46
2024-10-17 11:10,예,루테인,피로 회복,매일,아무때나,3,효과,온라인 쇼핑몰,nan,비타민 C,nan,전문가 의견,5,비용이 너무 비싸서,2,남자,42
2024-07-29 19:34,아니오,비타민D,모름,한 달에 한 번,아침,,성분,약국,크기를 작게,nan,nan,가격 비교,3,nan,1,남자,52
2024-09-05 19:31,아니오,엑세라민,모름,주 1회,점심,,구매 편의성,약국,섭취가 편한 제품,비타민 D,소셜 미디어,성분 분석,3,효과를 믿지 않아서,2,여자,23
2024-07-22 3:26,아니오,루테인,모름,주 2~3회,점심,,효과,nan,크기를 작게,nan,친구 및 가족,nan,5,효과를 믿지 않아서,,여자,40
2024-07-28 8:30,아니오,모름,피로 회복,매일,nan,4,효과,마트,nan,비타민 C,친구 및 가족,nan,,효과를 믿지 않아서,,여자,43
2024-12-13 19:52,아니오,루테인,모름,주 2~3회,nan,1,nan,마트,가격 인하,홍삼,전문가 추천,전문가 의견,2,건강에 문제 없어서,4,여자,63
2024-08-23 15:51,예,홍삼,모름,한 달에 한 번,점심,5,효과,nan,가격 인하,프로바이오틱스,전문가 추천,nan,2,건강에 문제 없어서,,남자,50
2024-10-17 11:10,아니오,엑세라민,다이어트,주 1회,아무때나,,성분,온라인 쇼핑몰,섭취가 편한 제품,비타민 C,nan,가격 비교,4,효과를 믿지 않아서,5,여자,63
2024-01-10 20:45,아니오,홍삼,면역력 강화,주 1회,아침,5,브랜드 신뢰도,마트,가격 인하,nan,소셜 미디어,전문가 의견,,모름,1,남자,67
2024-08-14 3:52,아니오,엑세라민,피부 건강,주 1회,저녁,,성분,nan,크기를 작게,비타민 C,친구 및 가족,가격 비교,1,모름,,여자,43
2024-07-21 18:40,예,홍삼,면역력 강화,한 달에 한 번,nan,4,브랜드 신뢰도,온라인 쇼핑몰,섭취가 편한 제품,비타민 C,소셜 미디어,전문가 의견,3,건강에 문제 없어서,2,남자,68
2024-05-03 20:36,아니오,루테인,다이어트,nan,저녁,1,효과,온라인 쇼핑몰,nan,비타민 C,인터넷 검색,nan,4,효과를 믿지 않아서,5,남자,29
2024-10-18 4:42,아니오,루테인,피부 건강,nan,아무때나,1,효과,백화점,섭취가 편한 제품,홍삼,소셜 미디어,전문가 의견,5,모름,,여자,68
2024-12-15 15:42,예,비타민D,모름,주 2~3회,nan,,구매 편의성,온라인 쇼핑몰,섭취가 편한 제품,유산균,인터넷 검색,사용 후기,,건강에 문제 없어서,3,남자,68
2024-04-30 13:41,아니오,모름,다이어트,nan,저녁,4,브랜드 신뢰도,마트,효과 증대,유산균,전문가 추천,성분 분석,3,효과를 믿지 않아서,2,남자,69
2024-08-21 11:14,예,홍삼,모름,nan,아무때나,2,효과,마트,효과 증대,비타민 C,전문가 추천,nan,1,비용이 너무 비싸서,2,남자,21
2024-07-03 12:13,예,오메가3,피로 회복,주 1회,아침,5,nan,nan,섭취가 편한 제품,홍삼,nan,성분 분석,1,효과를 믿지 않아서,4,여자,50
2024-05-06 18:45,예,비타민D,다이어트,주 1회,아무때나,5,가격,nan,가격 인하,홍삼,소셜 미디어,nan,2,효과를 믿지 않아서,3,여자,44
2024-06-21 10:51,예,홍삼,피로 회복,주 2~3회,nan,3,구매 편의성,온라인 쇼핑몰,효과 증대,비타민 C,소셜 미디어,성분 분석,4,nan,4,여자,23
2024-03-25 0:49,예,홍삼,다이어트,매일,점심,4,성분,약국,nan,nan,인터넷 검색,사용 후기,5,nan,,남자,30
2024-03-10 1:17,아니오,비타민D,다이어트,주 2~3회,아침,3,구매 편의성,백화점,크기를 작게,nan,전문가 추천,성분 분석,3,비용이 너무 비싸서,3,남자,36
2024-03-22 20:12,예,루테인,피로 회복,주 2~3회,저녁,,가격,약국,효과 증대,비타민 D,인터넷 검색,전문가 의견,1,비용이 너무 비싸서,2,남자,63
2024-05-20 7:12,예,홍삼,피부 건강,한 달에 한 번,nan,3,브랜드 신뢰도,온라인 쇼핑몰,섭취가 편한 제품,비타민 C,전문가 추천,성분 분석,3,효과를 믿지 않아서,4,남자,21
2024-05-17 9:03,아니오,루테인,면역력 강화,한 달에 한 번,점심,1,성분,온라인 쇼핑몰,가격 인하,비타민 D,인터넷 검색,nan,5,모름,5,여자,25
2024-04-13 0:47,예,비타민D,모름,주 2~3회,아무때나,5,성분,약국,크기를 작게,nan,전문가 추천,가격 비교,3,비용이 너무 비싸서,3,남자,28
2024-12-15 15:42,아니오,루테인,다이어트,주 2~3회,점심,3,브랜드 신뢰도,백화점,효과 증대,nan,인터넷 검색,성분 분석,4,효과를 믿지 않아서,2,남자,24
2024-08-18 21:51,아니오,엑세라민,모름,주 2~3회,nan,1,구매 편의성,약국,가격 인하,비타민 C,전문가 추천,성분 분석,2,건강에 문제 없어서,1,남자,39
2024-08-17 2:01,아니오,오메가3,피로 회복,nan,nan,4,효과,nan,가격 인하,비타민 D,인터넷 검색,성분 분석,3,nan,3,여자,48
2024-12-21 3:14,예,nan,모름,한 달에 한 번,점심,3,구매 편의성,마트,가격 인하,비타민 D,소셜 미디어,nan,,모름,3,남자,40
2024-09-28 19:57,예,홍삼,피로 회복,주 2~3회,아무때나,,가격,nan,섭취가 편한 제품,비타민 C,nan,성분 분석,2,효과를 믿지 않아서,,여자,28
2024-04-04 6:20,예,모름,모름,주 1회,점심,,nan,마트,nan,비타민 D,인터넷 검색,nan,5,건강에 문제 없어서,5,여자,47
2024-05-10 19:13,아니오,오메가3,면역력 강화,주 1회,nan,,효과,온라인 쇼핑몰,가격 인하,프로바이오틱스,nan,nan,2,nan,,남자,27
2024-09-16 1:03,예,nan,면역력 강화,nan,nan,5,구매 편의성,백화점,크기를 작게,nan,소셜 미디어,가격 비교,3,건강에 문제 없어서,3,남자,50
2024-06-15 5:47,예,루테인,면역력 강화,nan,저녁,3,nan,약국,효과 증대,유산균,소셜 미디어,전문가 의견,3,효과를 믿지 않아서,3,남자,39
2024-05-29 19:11,예,홍삼,면역력 강화,매일,저녁,4,nan,백화점,크기를 작게,홍삼,전문가 추천,nan,,비용이 너무 비싸서,5,남자,46
2024-08-24 18:09,아니오,루테인,면역력 강화,매일,아침,3,브랜드 신뢰도,약국,섭취가 편한 제품,비타민 D,nan,사용 후기,1,nan,5,여자,27
2024-04-25 19:41,아니오,엑세라민,면역력 강화,매일,nan,5,가격,nan,섭취가 편한 제품,비타민 D,친구 및 가족,성분 분석,,건강에 문제 없어서,4,여자,40
2024-09-03 23:41,예,비타민D,피로 회복,nan,저녁,1,가격,nan,크기를 작게,홍삼,전문가 추천,사용 후기,3,비용이 너무 비싸서,2,여자,47
2024-03-22 20:12,예,홍삼,다이어트,nan,점심,5,가격,약국,nan,비타민 D,nan,성분 분석,2,모름,2,여자,42
2024-10-25 20:51,예,nan,모름,nan,아무때나,,효과,백화점,섭취가 편한 제품,홍삼,인터넷 검색,가격 비교,,효과를 믿지 않아서,4,여자,25
2024-03-26 3:07,예,nan,면역력 강화,주 1회,점심,1,성분,약국,섭취가 편한 제품,비타민 C,인터넷 검색,nan,,효과를 믿지 않아서,2,여자,22
2024-09-06 13:04,아니오,엑세라민,피로 회복,nan,아무때나,,효과,온라인 쇼핑몰,크기를 작게,프로바이오틱스,소셜 미디어,전문가 의견,1,nan,3,여자,24
2024-08-30 5:41,아니오,엑세라민,피로 회복,주 1회,저녁,2,구매 편의성,nan,섭취가 편한 제품,프로바이오틱스,친구 및 가족,nan,3,건강에 문제 없어서,4,여자,28
2024-12-21 20:46,아니오,홍삼,피로 회복,매일,아침,5,nan,온라인 쇼핑몰,nan,nan,인터넷 검색,성분 분석,3,모름,4,여자,26
2024-10-28 19:00,아니오,루테인,다이어트,매일,점심,5,nan,nan,nan,유산균,nan,전문가 의견,5,nan,2,여자,23
2024-05-16 6:45,예,모름,모름,매일,점심,4,성분,nan,nan,비타민 D,nan,nan,1,nan,1,남자,58
2024-09-02 3:50,예,nan,다이어트,주 2~3회,점심,3,구매 편의성,마트,효과 증대,유산균,인터넷 검색,전문가 의견,5,건강에 문제 없어서,2,남자,24
2024-08-09 18:38,예,nan,피부 건강,주 2~3회,아무때나,1,성분,온라인 쇼핑몰,nan,비타민 C,nan,성분 분석,5,모름,,남자,30
2024-06-21 2:05,아니오,엑세라민,피로 회복,한 달에 한 번,저녁,1,nan,온라인 쇼핑몰,nan,프로바이오틱스,nan,가격 비교,5,건강에 문제 없어서,1,여자,34
2024-03-25 18:21,예,오메가3,피부 건강,한 달에 한 번,점심,4,효과,마트,효과 증대,비타민 C,소셜 미디어,가격 비교,4,효과를 믿지 않아서,4,남자,53
2024-09-09 11:13,아니오,엑세라민,면역력 강화,한 달에 한 번,점심,4,가격,백화점,가격 인하,비타민 C,친구 및 가족,nan,5,비용이 너무 비싸서,1,여자,32
2024-02-10 22:06,아니오,모름,면역력 강화,주 2~3회,아침,3,nan,온라인 쇼핑몰,섭취가 편한 제품,비타민 D,소셜 미디어,사용 후기,,효과를 믿지 않아서,3,여자,67
2024-10-29 21:18,예,루테인,다이어트,주 2~3회,아침,,브랜드 신뢰도,약국,nan,비타민 C,친구 및 가족,성분 분석,2,효과를 믿지 않아서,5,남자,26
2024-06-30 5:18,예,루테인,모름,한 달에 한 번,저녁,3,가격,마트,섭취가 편한 제품,프로바이오틱스,nan,nan,,nan,1,여자,59
2024-06-10 3:01,예,오메가3,피부 건강,한 달에 한 번,저녁,5,nan,온라인 쇼핑몰,크기를 작게,유산균,친구 및 가족,nan,,효과를 믿지 않아서,,남자,25
2024-07-24 16:49,아니오,nan,모름,nan,nan,,효과,백화점,섭취가 편한 제품,프로바이오틱스,nan,가격 비교,3,모름,5,여자,58
2024-04-07 13:15,예,엑세라민,다이어트,한 달에 한 번,아침,2,성분,온라인 쇼핑몰,효과 증대,비타민 D,nan,전문가 의견,4,효과를 믿지 않아서,3,여자,69
2024-07-04 23:18,아니오,루테인,면역력 강화,nan,nan,3,가격,nan,섭취가 편한 제품,프로바이오틱스,소셜 미디어,성분 분석,5,모름,,남자,49
2024-10-21 11:37,예,모름,모름,주 1회,아무때나,4,효과,약국,섭취가 편한 제품,홍삼,소셜 미디어,전문가 의견,3,건강에 문제 없어서,5,남자,41
2024-05-20 15:58,아니오,홍삼,모름,주 2~3회,nan,,구매 편의성,마트,섭취가 편한 제품,유산균,전문가 추천,성분 분석,1,nan,3,남자,44
2024-05-21 0:44,아니오,비타민D,면역력 강화,한 달에 한 번,점심,3,브랜드 신뢰도,nan,가격 인하,홍삼,인터넷 검색,사용 후기,1,모름,5,남자,47
2024-02-10 22:06,예,비타민D,피부 건강,주 2~3회,nan,1,가격,백화점,가격 인하,홍삼,전문가 추천,가격 비교,3,효과를 믿지 않아서,5,남자,39
2024-08-11 14:29,아니오,비타민D,면역력 강화,주 2~3회,저녁,2,성분,nan,크기를 작게,nan,전문가 추천,사용 후기,2,nan,2,남자,58
2024-08-15 23:42,아니오,nan,모름,주 2~3회,아무때나,5,구매 편의성,nan,효과 증대,비타민 D,친구 및 가족,nan,3,nan,,여자,22
2024-12-13 11:05,예,엑세라민,피부 건강,주 1회,점심,1,효과,백화점,섭취가 편한 제품,비타민 C,nan,가격 비교,3,모름,,여자,24
2024-01-30 5:30,아니오,오메가3,피부 건강,매일,nan,1,브랜드 신뢰도,nan,섭취가 편한 제품,홍삼,nan,nan,4,모름,1,여자,20
2024-09-12 0:36,예,루테인,면역력 강화,한 달에 한 번,아무때나,2,성분,마트,섭취가 편한 제품,프로바이오틱스,nan,사용 후기,1,비용이 너무 비싸서,,여자,34
2024-02-10 22:06,아니오,홍삼,모름,매일,아무때나,5,효과,온라인 쇼핑몰,섭취가 편한 제품,비타민 C,인터넷 검색,성분 분석,1,비용이 너무 비싸서,,남자,45
2024-01-01 8:46,예,모름,다이어트,매일,점심,4,효과,nan,가격 인하,프로바이오틱스,친구 및 가족,nan,5,nan,5,여자,22
2024-08-22 4:46,예,홍삼,모름,매일,nan,,가격,마트,크기를 작게,프로바이오틱스,친구 및 가족,전문가 의견,,비용이 너무 비싸서,4,여자,59
2024-03-21 0:21,아니오,모름,피로 회복,주 2~3회,아무때나,5,가격,온라인 쇼핑몰,nan,비타민 C,nan,성분 분석,3,효과를 믿지 않아서,2,남자,60
2024-07-25 10:21,아니오,nan,다이어트,nan,아무때나,3,성분,온라인 쇼핑몰,효과 증대,비타민 C,전문가 추천,성분 분석,3,건강에 문제 없어서,1,여자,66
2024-11-08 0:31,아니오,엑세라민,피부 건강,주 2~3회,아침,1,nan,nan,섭취가 편한 제품,프로바이오틱스,인터넷 검색,사용 후기,2,nan,2,남자,61
2024-12-29 21:41,아니오,비타민D,다이어트,주 2~3회,아무때나,3,nan,마트,크기를 작게,비타민 D,전문가 추천,사용 후기,1,건강에 문제 없어서,1,남자,53
2024-09-25 13:02,아니오,엑세라민,피부 건강,매일,아침,4,효과,nan,nan,유산균,소셜 미디어,가격 비교,2,비용이 너무 비싸서,3,남자,24
2024-03-22 20:12,예,nan,피부 건강,주 2~3회,nan,3,가격,백화점,크기를 작게,nan,친구 및 가족,가격 비교,4,모름,5,여자,50
2024-05-20 7:12,아니오,오메가3,다이어트,매일,nan,5,브랜드 신뢰도,온라인 쇼핑몰,가격 인하,유산균,친구 및 가족,전문가 의견,5,nan,,남자,32
2024-05-26 21:02,예,오메가3,피부 건강,nan,nan,3,브랜드 신뢰도,nan,nan,비타민 D,전문가 추천,성분 분석,2,비용이 너무 비싸서,,여자,62
2024-08-20 17:42,예,nan,피부 건강,한 달에 한 번,저녁,4,효과,온라인 쇼핑몰,크기를 작게,nan,인터넷 검색,전문가 의견,1,효과를 믿지 않아서,4,여자,20
2024-02-17 3:10,아니오,모름,피로 회복,매일,nan,4,가격,마트,가격 인하,비타민 C,친구 및 가족,전문가 의견,4,nan,2,여자,41
2024-01-19 23:58,예,루테인,모름,nan,아무때나,4,성분,약국,크기를 작게,nan,전문가 추천,사용 후기,3,nan,2,남자,34
2024-09-06 13:04,예,루테인,모름,한 달에 한 번,점심,5,성분,nan,크기를 작게,프로바이오틱스,인터넷 검색,전문가 의견,4,모름,2,남자,45
2024-09-23 8:25,예,모름,피로 회복,주 1회,아침,4,성분,nan,nan,유산균,전문가 추천,전문가 의견,,nan,,남자,37
2024-09-02 3:50,예,오메가3,다이어트,매일,저녁,1,브랜드 신뢰도,온라인 쇼핑몰,가격 인하,nan,인터넷 검색,nan,2,모름,2,여자,67
2024-09-16 1:03,아니오,오메가3,면역력 강화,매일,nan,4,가격,마트,섭취가 편한 제품,프로바이오틱스,nan,가격 비교,1,비용이 너무 비싸서,5,여자,28
2024-05-31 15:02,예,오메가3,면역력 강화,주 1회,nan,3,가격,백화점,효과 증대,비타민 D,인터넷 검색,가격 비교,2,효과를 믿지 않아서,1,남자,20
2024-03-30 21:07,아니오,엑세라민,면역력 강화,주 1회,점심,,브랜드 신뢰도,마트,nan,nan,소셜 미디어,성분 분석,3,효과를 믿지 않아서,,여자,62
2024-11-01 1:55,아니오,오메가3,피로 회복,매일,점심,3,성분,nan,가격 인하,프로바이오틱스,nan,가격 비교,3,nan,5,남자,28
2024-06-09 0:43,예,홍삼,피로 회복,주 1회,저녁,,성분,백화점,크기를 작게,비타민 D,전문가 추천,성분 분석,1,nan,3,남자,42
